Name,Online_Name,Description,Short_Code,Short_Code_2,Sap_Code,HSN_Code,Parent_Category,Category,Category_online_display,Price,Attributes,Goods_Services,"GST% (Allowed only 5,18,40)","Type (F=forwardTax,B=BackwardTax)","(Optional) Other Tax (TaxName+Type+value) (F-forward, B-Backward)",Unit,is_Self_Item_Recipe,minimum_stock_level,at_par_stock_level,Rank,Packing_Charges,Allow_Decimal_Qty,Addon_Group_Name,Addon_Group_Selection,Addon_Group_Min,Addon_Group_Max,Variation_group_name,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges,Variation,Variation_Price,Variation_Sap_Code,Variation_Packing_Charges
"Prawns Tawa Fry","Prawns Tawa Fry",,PTF,,,,,"Gomantaks Special Fry","Special Fry",350,non-veg,,5,F,,,0,,,1,0,Yes
"King Prawns Tawa Fry","King Prawns Tawa Fry",,KPTF,,,,,"Gomantaks Special Fry","Special Fry",650,non-veg,,5,F,,,0,,,1,0,Yes
"King Prawns  Fry","King Prawns  Fry",,KPF,,,,,"Gomantaks Special Fry","Special Fry",650,non-veg,,5,F,,,0,,,1,0,Yes
"King Prawns Butter Garlic","King Prawns Butter Garlic",,KPBG,,,,,"Gomantaks Special Fry","Special Fry",700,non-veg,,5,F,,,0,,,1,0,Yes
"King Prawns Pepper Butter Garlic","King Prawns Pepper Butter Garlic",,KPPBG,,,,,"Gomantaks Special Fry","Special Fry",700,non-veg,,5,F,,,0,,,1,0,Yes
"Prawns Fry","Prawns Fry",,PF,,,,,"Gomantaks Special Fry","Special Fry",425,non-veg,,5,F,,,0,,,1,0,Yes
"Prawns Koliwada","Prawns Koliwada",,PK,,,,,"Gomantaks Special Fry","Special Fry",425,non-veg,,5,F,,,0,,,1,0,Yes
"Mix Seafood Platter Tawa Fry","Mix Seafood Platter Tawa Fry",,MSPTF,,,,,"Gomantaks Special Fry","Special Fry",810,non-veg,,5,F,,,0,,,1,0,Yes
"Jumbo Mix Seafood Platter Tawa Fry","Jumbo Mix Seafood Platter Tawa Fry","(Bill Pomfret Fry, Surmai Fry, Halwa Fry, Rawas Fry, Prawns Fry, Bombil Fry)","jumbo mix seafood pl",,,,,"Gomantaks Special Fry","Special Fry",1600,non-veg,,5,F,,,0,,,1,0,Yes
"Mix Seafood Platter Fry","Mix Seafood Platter Fry",,MSPF,,,,,"Gomantaks Special Fry","Special Fry",750,non-veg,,5,F,,,0,,,1,0,Yes
"Chicken Roast Fry(8pc)","Chicken Roast Fry",,"chicken roast fry(8p",,,,,"Gomantaks Special Fry","Special Fry",400,non-veg,,5,F,,,0,,,1,0,Yes
"Mutton Chop Fry(4Pc)","Mutton Chop Fry(4Pc)",,MCFP,,,,,"Gomantaks Special Fry","Special Fry",450,non-veg,,5,F,,,0,,,1,0,Yes
