Item Name,Frequency,Total Revenue,Avg Price,Confidence,Issue Type
king prawans kolivada,2,3081.25,1540.63,ESTIMATED,Other/Missing Item
king prowans kolivada,1,3045.67,3045.67,ESTIMATED,Other/Missing Item
king prawans masala fry,1,3045.67,3045.67,ESTIMATED,Other/Missing Item
crab jumbo butur garic,3,2993.33,997.78,ESTIMATED,Other/Missing Item
Ballantines (90 Ml),2,2463.33,1231.67,ESTIMATED,Missing Bottle Size
ushal,3,2425.67,808.56,ESTIMATED,Other/Missing Item
crab jumbo ghee rost,2,2422.50,1211.25,ESTIMATED,Other/Missing Item
king prawans gee rost,2,2320.00,1160.00,ESTIMATED,Other/Missing Item
Antiquity (30 Ml),6,2287.67,381.28,ESTIMATED,Missing Bottle Size
crab jumbo buter garic,1,2286.00,2286.00,ESTIMATED,Other/Missing Item
jumbo rawas,1,2246.00,2246.00,ESTIMATED,Other/Missing Item
curd,11,2231.83,202.89,ESTIMATED,Other/Missing Item
Chivas Regal (180 Ml),1,2230.00,2230.00,ESTIMATED,Missing Bottle Size
vade 1pc,8,2211.42,276.43,ESTIMATED,Other/Missing Item
Bombay Saphire (180 Ml),2,2206.25,1103.13,ESTIMATED,Missing Bottle Size
Chivas Regal (30 Ml),4,2147.17,536.79,ESTIMATED,Missing Bottle Size
king prawns ghee rost,1,2135.00,2135.00,ESTIMATED,Other/Missing Item
halp salad,9,2083.38,231.49,ESTIMATED,Other/Missing Item
Legacy (180 Ml),1,2047.00,2047.00,ESTIMATED,Missing Bottle Size
pomret jambo tawa fry,1,1996.25,1996.25,ESTIMATED,Other/Missing Item
king prwas kolivada,1,1996.25,1996.25,ESTIMATED,Other/Missing Item
Mushroom Chilli,7,1950.00,278.57,ESTIMATED,Other/Missing Item
carab jumbo masala fry,2,1908.00,954.00,ESTIMATED,Other/Missing Item
Blenders Reserve (30 Ml),7,1856.83,265.26,ESTIMATED,Missing Bottle Size
Chicken Manchow Soup,6,1828.33,304.72,ESTIMATED,Other/Missing Item
Chivas Regal (90 Ml),2,1825.00,912.50,ESTIMATED,Missing Bottle Size
Ballantines (30 Ml),2,1820.00,910.00,ESTIMATED,Missing Bottle Size
crab buter garic fry,1,1691.00,1691.00,ESTIMATED,Other/Missing Item
EGG MUNCHOW SOUP,1,1680.00,1680.00,ESTIMATED,Other/Missing Item
Macdowell Rum (60 Ml),8,1578.65,197.33,ESTIMATED,Missing Bottle Size
Prawn Chilli Manchurian,6,1486.00,247.67,ESTIMATED,Other/Missing Item
half salad,8,1422.17,177.77,ESTIMATED,Other/Missing Item
White Mischeif (30 Ml),8,1417.14,177.14,ESTIMATED,Missing Bottle Size
king prawans tawa fry 1kg,1,1353.33,1353.33,ESTIMATED,Other/Missing Item
White Mischeif (60 Ml),10,1351.42,135.14,ESTIMATED,Missing Bottle Size
Imperial Blue (30 Ml),9,1348.10,149.79,ESTIMATED,Missing Bottle Size
Bombay Saphire (30 Ml),6,1298.52,216.42,ESTIMATED,Missing Bottle Size
carab jumbo ghee rost,1,1293.33,1293.33,ESTIMATED,Other/Missing Item
pomfret bills masala fry,1,1293.33,1293.33,ESTIMATED,Other/Missing Item
king prawans chilly,1,1290.00,1290.00,ESTIMATED,Other/Missing Item
FRY NOODLS,4,1252.50,313.13,ESTIMATED,Other/Missing Item
king prawans  gee ro,1,1250.00,1250.00,ESTIMATED,Other/Missing Item
veg hakha noodles,1,1148.00,1148.00,ESTIMATED,Other/Missing Item
king prawans butter garlic,1,1125.00,1125.00,ESTIMATED,Other/Missing Item
fry nodles,4,1077.96,269.49,ESTIMATED,Other/Missing Item
king prons chili,1,1020.00,1020.00,ESTIMATED,Other/Missing Item
Macdowell Rum (90 Ml),9,983.38,109.26,ESTIMATED,Missing Bottle Size
crab jumbo butter garlic,2,982.30,491.15,ESTIMATED,Other/Missing Item
sazwan souce,1,954.00,954.00,ESTIMATED,Other/Missing Item
CRAB JUMBO MASLA FRY,1,927.50,927.50,ESTIMATED,Other/Missing Item
paneer fried rice,6,889.16,148.19,ESTIMATED,Other/Missing Item
fry noodlls,2,875.00,437.50,ESTIMATED,Other/Missing Item
Jithada tawa fry,1,875.00,875.00,ESTIMATED,Other/Missing Item
Veg 65,4,859.60,214.90,ESTIMATED,Other/Missing Item
pomfret jumbo tawa fried,1,844.00,844.00,ESTIMATED,Other/Missing Item
king prawns gee rost,1,840.00,840.00,ESTIMATED,Other/Missing Item
ceab jumbo masala fry,1,800.00,800.00,ESTIMATED,Other/Missing Item
HALAWA JUMBO TAWA FRY,1,775.75,775.75,ESTIMATED,Other/Missing Item
Chicken Manchurian Dry,3,760.00,253.33,ESTIMATED,Other/Missing Item
buttar bhakari,1,753.33,753.33,ESTIMATED,Other/Missing Item
butur bhakari,1,753.33,753.33,ESTIMATED,Other/Missing Item
crab jumbo gee rost,1,740.00,740.00,ESTIMATED,Other/Missing Item
v65,1,723.00,723.00,ESTIMATED,Other/Missing Item
fry noolds,3,715.75,238.58,ESTIMATED,Other/Missing Item
KING PRAWANS BIRYANI,1,707.50,707.50,ESTIMATED,Other/Missing Item
fry noodlas,1,700.00,700.00,ESTIMATED,Other/Missing Item
bombil chili,1,700.00,700.00,ESTIMATED,Other/Missing Item
fried noodle s,1,690.00,690.00,ESTIMATED,Other/Missing Item
crab jumbo masalafry,1,657.50,657.50,ESTIMATED,Other/Missing Item
paneer frid ric,2,654.00,327.00,ESTIMATED,Other/Missing Item
king prons masala,1,646.00,646.00,ESTIMATED,Other/Missing Item
bhaji,3,634.00,211.33,ESTIMATED,Other/Missing Item
fnd,1,630.00,630.00,ESTIMATED,Other/Missing Item
fry nooldls,1,630.00,630.00,ESTIMATED,Other/Missing Item
FRIEDND,1,625.00,625.00,ESTIMATED,Other/Missing Item
bombil chilly,2,618.33,309.17,ESTIMATED,Other/Missing Item
jalwa,1,607.50,607.50,ESTIMATED,Other/Missing Item
Vade single,2,602.50,301.25,ESTIMATED,Other/Missing Item
fry nooldas,2,580.33,290.17,ESTIMATED,Other/Missing Item
FRIED NODLESS,1,558.33,558.33,ESTIMATED,Other/Missing Item
bombil  chilli,1,555.00,555.00,ESTIMATED,Other/Missing Item
Magic Moments Lemon (90 Ml),1,526.50,526.50,ESTIMATED,Missing Bottle Size
vej lolipop,1,515.00,515.00,ESTIMATED,Other/Missing Item
mushroom koliwoda,1,502.50,502.50,ESTIMATED,Other/Missing Item
FRY NOODLASH,1,500.00,500.00,ESTIMATED,Other/Missing Item
surmai sumbo tawa,1,496.25,496.25,ESTIMATED,Other/Missing Item
musroom bryani,1,490.00,490.00,ESTIMATED,Other/Missing Item
mushroom fridrice,1,477.50,477.50,ESTIMATED,Other/Missing Item
mushroom hakka noolds,1,477.50,477.50,ESTIMATED,Other/Missing Item
chiken gray,4,474.40,118.60,ESTIMATED,Other/Missing Item
veg burnt garlic noodle,1,470.00,470.00,ESTIMATED,Other/Missing Item
paneer kolivada,1,460.00,460.00,ESTIMATED,Other/Missing Item
king prawan biryani,1,445.00,445.00,ESTIMATED,Other/Missing Item
salad,3,444.03,148.01,ESTIMATED,Other/Missing Item
paneer sizwan fried rice,1,438.00,438.00,ESTIMATED,Other/Missing Item
fish gray,2,435.33,217.67,ESTIMATED,Other/Missing Item
king prawas gee rost,1,430.00,430.00,ESTIMATED,Other/Missing Item
boiled egg oilfry,1,425.00,425.00,ESTIMATED,Other/Missing Item
small frooty,2,425.00,212.50,ESTIMATED,Other/Missing Item
boil chana chat,1,413.33,413.33,ESTIMATED,Other/Missing Item
butter,3,400.50,133.50,ESTIMATED,Other/Missing Item
chicken rost fry 8pc,1,400.00,400.00,ESTIMATED,Other/Missing Item
king prawan masala,1,387.00,387.00,ESTIMATED,Other/Missing Item
mutton gray,1,384.00,384.00,ESTIMATED,Other/Missing Item
chicken butter garic,1,382.50,382.50,ESTIMATED,Other/Missing Item
egg hakka noodls,1,380.00,380.00,ESTIMATED,Other/Missing Item
KING PRAWANS GHEE ROST,1,370.00,370.00,ESTIMATED,Other/Missing Item
salad halp,4,363.69,90.92,ESTIMATED,Other/Missing Item
king prons  chili g,1,360.00,360.00,ESTIMATED,Other/Missing Item
fruti,1,350.00,350.00,ESTIMATED,Other/Missing Item
paneer mushroom fried rice,1,340.00,340.00,ESTIMATED,Other/Missing Item
fry noodals,1,340.00,340.00,ESTIMATED,Other/Missing Item
surmai masla 1pc,1,335.00,335.00,ESTIMATED,Other/Missing Item
egg tirper rice,2,330.83,165.42,ESTIMATED,Other/Missing Item
chicken kolapuri,1,321.67,321.67,ESTIMATED,Other/Missing Item
chicken kori roti,1,320.00,320.00,ESTIMATED,Other/Missing Item
chicke choper rice,1,310.00,310.00,ESTIMATED,Other/Missing Item
extra usal,1,308.00,308.00,ESTIMATED,Other/Missing Item
egg tripple s rice,1,300.00,300.00,ESTIMATED,Other/Missing Item
king prawans biryani,1,300.00,300.00,ESTIMATED,Other/Missing Item
paneer crespy,1,300.00,300.00,ESTIMATED,Other/Missing Item
Macdowell Rum (30 Ml),2,296.00,148.00,ESTIMATED,Missing Bottle Size
king prawans  masala fry,1,286.67,286.67,ESTIMATED,Other/Missing Item
chicken koliwoda bonless,1,280.00,280.00,ESTIMATED,Other/Missing Item
paneer frid rice,1,280.00,280.00,ESTIMATED,Other/Missing Item
paneer feid rice,1,280.00,280.00,ESTIMATED,Other/Missing Item
